country,iso3c,cpi,region,gdp,population,school_enroll,area,democracy
Spain,ESP,60,WE/EU,45825.1956330087,47615034,119.114921569824,505964.594,0.873
Sri Lanka,LKA,36,AP,14405.4159547053,22181000,91.013557434082,65610,0.575
Sudan,SDN,22,SSA,4216.02490234375,46874204,48.3620414733887,1878000,0.169
Suriname,SUR,40,AME,17619.8029343957,618040,65.6098480224609,163820,0.77
Sweden,SWE,83,WE/EU,64578.3963325427,10486941,138.688186645508,528860.72,0.899
Switzerland,CHE,82,WE/EU,83598.453356565,8769741,103.605186462402,41290.7,0.898
Tajikistan,TJK,24,ECA,4885.12570059687,9952787,87.2052230834961,141379,0.175
Tanzania,TZA,38,SSA,3096.88452148438,65497748,27.9080696105957,947300,0.398
Thailand,THA,36,AP,20671.6849201656,71697030,105.599586486816,513120,0.206
Timor-Leste,TLS,42,AP,4828.32547036102,1341296,85.2118530273438,14870,0.695
Togo,TGO,30,SSA,2607.92768076896,8848699,64.290901184082,56790,0.426
Turkmenistan,TKM,19,ECA,15628.4577257404,6430770,95.6963424682617,488100,0.149
Uganda,UGA,26,SSA,2693.81528630238,47249585,24.0003337860107,241550,0.285
Ukraine,UKR,33,ECA,12671.2392578125,38000000,84.6516265869141,603550,0.406
United Kingdom,GBR,73,WE/EU,54602.544380158,66971411,113.035621643066,243610,0.843
Uruguay,URY,74,AME,28841.9857002361,3422794,120.236488342285,176220,0.804
Uzbekistan,UZB,31,ECA,9532.51186508938,35648100,88.7964630126953,448924,0.221
Vanuatu,VUT,48,AP,3289.47966806745,326740,75.4229583740234,12190,0.771
Zimbabwe,ZWE,23,SSA,2530.64598671745,16320537,51.8495788574219,390760,0.285
