day,temp
1,-6.7
2,-10.1
3,-11.8
4,-12.8
5,-12.8
6,-8.4
7,-5.7
8,-2.9
9,0.3
10,-0.4
11,-0.6
12,-1.4
13,-3.8
14,-5.6
15,-3.9
16,0.7
17,1.5
18,1.3
19,1.1
20,-1.6
21,-3.8
22,-1.5
23,-5.9
24,-7.2
25,-5.4
26,-9.6
27,-7.4
28,-4.3
29,-3.3
30,-2.1
31,-3
